Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender
P.Bhagavanthu,IND,0,Not Given,28,,Nagarkurnool,0,0,M
Suravaram Sudhakar Reddy,CPI,1,Graduate Professional,62,1990000,Nalgonda,962600,0,M
A.Nageswara Rao,PPOI,0,Graduate,54,645000,Nalgonda,0,0,M
Gummi Bakka Reddy,IND,0,Not Given,60,125000,Nalgonda,0,0,M
Gyara Prathap,IND,0,10th Pass,41,800000,Nalgonda,0,0,M
Nallu Indrasena Reddy,BJP,0,Post Graduate,53,16242000,Nalgonda,0,0,M
Pudari Narsimha,BSP,0,Graduate,34,,Nalgonda,125000,0,M
Vattipally Srinivas Goud,TRS,0,Graduate,40,4190972,Nalgonda,0,0,M
S. P. Y. Reddy,INC,0,Graduate Professional,54,64646900,Nandyal,13374000,1,M
A. C  V. Subbaiah,BSP,0,Graduate,40,100000,Nandyal,0,0,M
Bhuma Shobha Nagi Reddy,TDP,0,12th Pass,34,34003688,Nandyal,4819821,0,F
Budda Reddy Srinivasa Reddy,IND,0,Not Given,33,6686000,Nandyal,2300000,0,M
Injeti Krishna Reddy,IND,2,Not Given,40,3050000,Nandyal,30000,0,M
Laku Obulesu,IND,0,Not Given,42,227000,Nandyal,200000,0,M
Mala Gunam Palle Gokari,IND,0,Not Given,49,90000,Nandyal,0,0,M
Ramakrishna Reddy. S,IND,0,Not Given,40,1480000,Nandyal,201500,0,M
S. Vasudev Prasad,TRS,0,Not Given,29,,Nandyal,0,0,M
Alluri Yugandhara  Raju,PPOI,0,Post Graduate,39,451000,Narasapur,0,0,M
Uppalapati Venkatakrishnam Raju,BJP,0,Graduate,64,,Narasapur,450000,0,M
Mekapati Rajamohan Reddy,INC,0,Graduate Professional,59,63961169,Narasaraopet,0,1,M
Gontu Venkateswara Reddy,IND,0,Graduate,59,1075000,Narasaraopet,0,0,M
Maddi Lakshmaiah,TDP,0,Others,74,169062689,Narasaraopet,157955,0,M
Pulimamidi Narsimha Reddy,TRS,0,Graduate,40,45000,Narasaraopet,0,0,M
Pulimi Venkatarami Reddy,IND,0,5th Pass,42,80400,Narasaraopet,20000,0,M
Panabaka Lakshmi,INC,0,Post Graduate,46,5395726,Nellore,0,1,F
Balakondaiah Karupotala,BJP,0,Graduate,65,461481,Nellore,0,0,M
Dava Penchala Rao,IND,0,Others,0,100000,Nellore,24500,0,M
Maddela Brahmanaidu,IND,0,Not Given,32,22000,Nellore,0,0,M
Malakondaiah.Y,SP,0,Post Graduate,62,62000,Nellore,0,0,M
Mangalapuri Venkateswarlu,BRPP,0,Graduate,54,67500,Nellore,39646,0,M
Marlapati  Vemaiah,BSP,0,Graduate,37,,Nellore,0,0,M
Ouruvuru Krishnaiah,IND,0,10th Pass,40,,Nellore,0,0,M
Venkata Ram Ravinuthala,IND,0,Not Given,53,20000,Nellore,0,0,M
Madhu Goud Yaskhi,INC,0,Post Graduate,45,142718537,Nizamabad,32560000,1,M
Baisa Ramadasu,IND,0,12th Pass,48,11100,Nizamabad,0,0,M
Syed Yousuf Ali,TDP,0,Not Given,49,11801000,Nizamabad,200000,0,M
Yedla Ramu,BSP,0,Post Graduate,48,5000,Nizamabad,0,0,M
Sreenivasulu Reddy Magunta,INC,2,Graduate,49,141768943,Ongole,0,0,M
Alla Rama Chandra Reddy,IND,0,5th Pass,57,900000,Ongole,25000,0,M
Bathula Vijaya Bharathi,TDP,0,Not Given,0,,Ongole,0,0,M
Boyalla Ranganayakulu,IND,0,Not Given,0,1200000,Ongole,0,0,M
Gudipudi Narasimha Rao,IND,0,Not Given,0,20000,Ongole,300000,0,M
Nalamalapu Lakshmi Narasa Reddy,IND,0,Not Given,35,181000,Ongole,0,0,M
Rama Rao Daggupati,IND,0,Not Given,59,130000,Ongole,0,0,M
Satish Kumar,IND,0,Post Graduate,58,40000,Ongole,0,0,M
Venu Babu Naidu Kavuri,IND,0,Not Given,27,303270,Ongole,88000,0,M
Kishore Chandra Suryanarayana Deo Vyricherla,INC,0,Post Graduate,57,220678000,Parvathipuram,0,1,M
Arika Gumpaswamy,IND,0,Not Given,55,442000,Parvathipuram,0,0,M
Dadichiluka Veera Gouri Sankara Rao,TDP,0,Doctorate,35,921000,Parvathipuram,0,0,M
Uooyaka Mutyalu,IND,0,8th Pass,32,20000,Parvathipuram,0,0,M
G. Venkat Swamy,INC,0,10th Pass,76,19464700,Peddapalli,0,1,M
Dr.Mt. C. Suguna,TDP,0,Post Graduate,48,50279356,Peddapalli,0,0,F
Kamilla Jaya Rao,IND,1,12th Pass,38,,Peddapalli,0,0,M
Maddela Odelu,IND,0,Not Given,27,478000,Peddapalli,60000,0,M
Aruna Kumar Vundavalli,INC,2,Graduate Professional,50,23431318,Rajahmundry,881017,0,M
Duggireddy Dharma Reddy,IND,0,Not Given,0,59500,Rajahmundry,0,0,M
Kantipudi Sarvarayudu,BJP,0,Graduate,53,25211596,Rajahmundry,0,0,M
S.B.P.B.K.Satyanarayana Rao,IND,0,Graduate,82,89712000,Rajahmundry,0,0,M
Annayyagari Sai Prathap,INC,0,12th Pass,59,9709190,Rajampet,1160909,1,M
Ashoka Rao Peechara,TRS,0,12th Pass,47,488000,Rajampet,0,0,M
Gunipati Ramaiah,TDP,0,10th Pass,42,4239986,Rajampet,606000,0,M
Haji Md. Azam Shaik,IND,0,10th Pass,76,30000,Rajampet,37000,0,M
Mukka Narasimha Reddy,JP,0,5th Pass,43,4242000,Rajampet,0,0,M
M. Anjan Kumar Yadav,INC,0,12th Pass,39,4250700,Secunderabad,810500,1,M
Abdus Sattar Mujahed,Muslim League Kerala State Committee,0,Not Given,37,80000,Secunderabad,0,0,M
Achanta Bapiraju,IND,0,Graduate,64,281447,Secunderabad,0,0,M
Bandaru Dattatraya,BJP,0,Graduate,57,7363517,Secunderabad,0,0,M
H.K. Jaiswal,IND,0,Not Given,62,,Secunderabad,0,0,M
Humera Aziz,AIMIM,0,Graduate,34,381000,Secunderabad,0,0,F
Kailash Chandra,IND,0,12th Pass,64,,Secunderabad,0,0,M
M.D. Paul Vedanth,BSP,0,Graduate,44,,Secunderabad,0,0,M
Megha Murali,PPOI,0,Not Given,0,,Secunderabad,0,0,M
N. Chandra Shekar,MCPI(S),0,10th Pass,47,,Secunderabad,0,0,M
Padm Yadagiri,IND,0,Not Given,0,,Secunderabad,0,0,M
Seelam Narayana,IND,0,Post Graduate,40,2548000,Secunderabad,3602500,0,M
Syed Nawaz Ahmed,IND,0,10th Pass,42,,Secunderabad,0,0,M
Sarvey Sathyanarayana,INC,0,Graduate Professional,49,1110000,Siddipet,480000,1,M
Killi Kruparani,INC,0,Not Given,0,,Srikakulam,0,0,M
Mylapalli Lakshmudu,BSP,1,Post Graduate,36,,Srikakulam,0,0,M
Tammineni Jaganmohan Rao,IND,0,Graduate Professional,37,100543,Srikakulam,0,0,M
Balashowry Vallabhaneni,INC,0,Graduate,36,103238914,Tenali,350000,1,M
Dilip Raaja Donepudi,BSP,0,Graduate,44,,Tenali,0,0,M
Duggirala Raja  Ramkumar,IND,0,Post Graduate,53,1500000,Tenali,0,0,M
Mandali Subrahmanyam,IND,0,Post Graduate,75,1560000,Tenali,0,0,M
Narasimha Reddy Tera,TRS,0,Post Graduate,42,25000,Tenali,0,0,M
Ummareddy Venkateswarlu,TDP,0,Post Graduate,69,5975599,Tenali,0,0,M
Venkateswarlu Palla,IND,0,Not Given,62,848200,Tenali,0,0,M
Chinta Mohan,INC,0,Graduate Professional,49,3982900,Tirupathi,1325256,1,M
Dr. N. Venkata Swamy,BJP,0,Post Graduate,72,7127164,Tirupathi,0,0,M
K. Eswar Rao,TRS,0,12th Pass,27,,Tirupathi,0,0,M
Kattamanchi Prabhakar,IND,0,Post Graduate,35,70000,Tirupathi,0,0,M
Apparao Damalapati,IND,0,10th Pass,60,4296000,Vijayawada,0,0,M
Aswini Dutt Chalasani,TDP,0,Others,53,26950458,Vijayawada,5935000,0,M
Domakonda Ravi Kumar,IND,0,10th Pass,36,405000,Vijayawada,0,0,M
Donepudi Srinivas,IND,0,Others,41,131000,Vijayawada,0,0,M
Gatla Venkata Narayana Reddy,IND,0,Post Graduate,41,615000,Vijayawada,0,0,M
Gottumukkala Siva Prasadaraju,IND,0,Post Graduate,42,16000,Vijayawada,0,0,M
Jakka Taraka Mallikarjuna Rao,IND,0,Graduate,37,45400,Vijayawada,0,0,M
Ramachandra Rao. J,TRS,0,Post Graduate,36,220000,Vijayawada,0,0,M
Someswara Rao Madala,IND,0,Post Graduate,41,10000,Vijayawada,0,0,M
Syed Moinuddin,IND,0,Post Graduate,60,1055000,Vijayawada,0,0,M
Janardhana Reddy Nedurumalli,INC,0,Graduate Professional,69,10916531,Visakhapatnam,11212,1,M
Apparao Gudivada,IND,0,Not Given,63,226200,Visakhapatnam,0,0,M
Bharanikana Rama Rao,IND,0,Post Graduate,0,9912102,Visakhapatnam,0,0,M
Dr.M.V.V.S.Murthy,TDP,0,Not Given,65,27339275,Visakhapatnam,0,0,M
Kolaventi Sundara Rao,BSP,0,Graduate Professional,64,,Visakhapatnam,0,0,M
Mamidi Somunaidu,RJD,0,Not Given,67,,Visakhapatnam,0,0,M
S.V.B.Reddy,IND,0,Post Graduate,57,1662000,Visakhapatnam,0,0,M
Satyanarayana Machiraju,IND,0,Graduate,60,7220000,Visakhapatnam,0,0,M
Vamsi Kiran.B,PPOI,0,Not Given,28,10000,Visakhapatnam,0,0,M
Bellaiah Tejavath,IND,0,Not Given,52,,Warangal,0,0,M
Bodakunti Venkateshwarlu,TDP,0,Graduate,47,6933697,Warangal,3926747,0,M
Gade Jhansi,IND,0,Graduate,40,,Warangal,0,0,M
Mamidala Elia,BSP,0,Post Graduate,59,3150000,Warangal,0,0,M
Mumjala Bikshapathi,IND,0,Graduate,29,,Warangal,0,0,M
Tapir Gao,BJP,0,Post Graduate,42,5516640,Arunachal East,50000,1,M
Matwang Chimyang,IND,0,10th Pass,39,1760000,Arunachal East,0,0,M
Ogong Tamuk,IND,0,8th Pass,47,1520000,Arunachal East,0,0,M
Onom Taknyo,IND,0,10th Pass,39,15000,Arunachal East,0,0,M
Tony Pertin,IND,0,Graduate,36,11672964,Arunachal East,0,0,M
Wangcha Rajkumar,INC,0,12th Pass,37,5465000,Arunachal East,0,0,M
Khiren Rijiju,BJP,0,Graduate,32,6511344,Arunachal West,0,1,M
Jodik Tali,IND,0,Post Graduate,26,550729,Arunachal West,0,0,M
Kamen Ringu,Arunachal Congress,0,12th Pass,51,19487038,Arunachal West,0,0,M
Kardu Taipodia,SP,0,12th Pass,54,8250000,Arunachal West,0,0,M
Kido Ingo,SAP,0,Literate,33,770509,Arunachal West,0,0,M
Tadar Taniang,AITC,0,10th Pass,51,117050000,Arunachal West,0,0,M
Tujo Bagra,IND,0,10th Pass,35,84761,Arunachal West,0,0,M
Biren Singh Engti,INC,0,Post Graduate,62,5389194,Autonomous District,0,1,M
Chember G. Momin,IND,0,10th Pass,39,50000,Autonomous District,0,0,M
Dr. Jayanta Rongpi,CPI(ML)(L),0,Post Graduate,50,5768428,Autonomous District,0,0,M
Elwin Teron,Autonomous State Demand Committee,0,Post Graduate,47,716926,Autonomous District,0,0,M
Harsing Teron,SAP,0,Graduate,57,1595000,Autonomous District,0,0,M
Ratan Teron,BJP,0,Graduate,45,3246423,Autonomous District,0,0,M
Sailendra Hasnu,AGP,0,Graduate,50,1034829,Autonomous District,0,0,M
Sanmoni Kemprai,IND,0,12th Pass,35,59257,Autonomous District,0,0,M
A. F. Golam Osmani,INC,0,Graduate Professional,73,1005000,Barpeta,0,1,M
Abdus  Salam,LJNSP,0,Not Given,38,160000,Barpeta,0,0,M
Abdus Samad Ahmed,UMFA,1,Doctorate,35,1040000,Barpeta,0,0,M
Dr. Tara Prasad Das,IND,0,12th Pass,53,24725263,Barpeta,6855406,0,M
Jilane Hoque Laskar,IND,0,10th Pass,39,60000,Barpeta,0,0,M
Kumar Deepak Das,AGP,0,Post Graduate,49,1183800,Barpeta,100000,0,M
Manoranjan Talukdar,CPM,0,Graduate,47,311061,Barpeta,0,0,M
Ranjit Thakuria,BJP,0,Graduate,47,400000,Barpeta,0,0,M
Syed Nurur Rohman,SP,0,12th Pass,60,1215000,Barpeta,0,0,M
Anwar Hussain,INC,0,Graduate Professional,58,558467,Dhubri,225000,1,M
Afzalur Rahman,AGP,0,Graduate,59,3328400,Dhubri,523000,0,M
Dr. Joyasree Goswami Mahanta,IND,0,Doctorate,43,15269365,Dhubri,0,0,F
Dr. Motiur Rahman Mondal,IND,0,Doctorate,54,1951136,Dhubri,0,0,M
Gandhi Nath,IND,0,Graduate,32,131000,Dhubri,0,0,M
Jabeen Borbhuyan,BJP,0,12th Pass,45,1481689,Dhubri,0,0,F
Listi Rabha,IND,0,Post Graduate,58,330408,Dhubri,0,0,M
Minhar Ali Mandal,IND,0,Post Graduate,56,656500,Dhubri,42844,0,M
Mohor Uddin Mondal,Muslim League Kerala State Committee,0,Post Graduate,35,110000,Dhubri,0,0,M
Radhaballav Adhikary,IND,0,Graduate,63,860388,Dhubri,0,0,M
Shajahan Sheikh,IND,0,Others,34,21500,Dhubri,0,0,M
Sarbananda Sonowal,AGP,0,Graduate Professional,42,2038397,Dibrugarh,758854,1,M
Amrit Borgohain,IND,0,Post Graduate,47,1480000,Dibrugarh,0,0,M
Badhram Rajgarh,IND,0,Not Given,65,35000,Dibrugarh,0,0,M
Kamakhaya Tasa,BJP,0,Post Graduate,29,448000,Dibrugarh,0,0,M
Paban Singh Ghatowar,INC,0,Graduate,57,5991408,Dibrugarh,0,0,M
Subhas Sen,CPI(ML)(L),0,12th Pass,52,1672000,Dibrugarh,247064,0,M
Titus Bhengra,SAP,0,Not Given,43,6500,Dibrugarh,0,0,M
Kirip Chaliha,INC,0,Post Graduate,49,9202689,Gauhati,205430,1,M
Bhabani Boro,IND,0,12th Pass,33,2269604,Gauhati,0,0,F
Bhrigu Kumar Phukan,AGP,0,Post Graduate,47,3189300,Gauhati,640000,0,M
Bhubaneswar Barman,SP,0,8th Pass,80,420000,Gauhati,0,0,M
Bhupen Hazarika,BJP,0,Doctorate,78,4393756,Gauhati,1913212,0,M
Deven Dutta,TNGP,0,Graduate,60,2316500,Gauhati,77416,0,M
Dhwajen Brahma,IND,0,Graduate,61,1361774,Gauhati,0,0,M
Kazi Nekib Ahmed,IND,0,Graduate,46,850962,Gauhati,0,0,M
Nipon Dholua,SAP,0,Post Graduate,33,45000,Gauhati,0,0,M
Rajat Chandra Rabha,IND,0,Post Graduate,44,165104,Gauhati,0,0,M
Sumitra Das,IND,0,10th Pass,35,76000,Gauhati,0,0,F
Umesh Chandra Das,IND,0,Not Given,67,733800,Gauhati,0,0,M
Bijoy Krishna Handique,INC,0,Post Graduate,69,1356192,Jorhat,0,1,M
Dayananda Borgohain,BJP,0,Doctorate,54,1510000,Jorhat,90000,0,M
Drupad Borgohain,CPI,0,Graduate,63,546000,Jorhat,0,0,M
Dulal Chandra Baruah,AGP,0,Graduate,69,573068,Jorhat,0,0,M
Joyram Mout,SAP,0,10th Pass,36,341739,Jorhat,0,0,M
Raj Kumar Dowara,RCPI(R),0,Graduate,39,600000,Jorhat,240254,0,M
Dip Gogoi,INC,0,Graduate,54,342751,Kaliabor,0,1,M
Anil Choudhury,LJNSP,0,10th Pass,46,255020,Kaliabor,0,0,M
Ataur Rahman,SAP,0,10th Pass,55,70000,Kaliabor,0,0,M
Bikash Tanti,IND,0,Post Graduate,30,61000,Kaliabor,0,0,M
Binod Gogoi,IND,0,Graduate,32,20000,Kaliabor,0,0,M
