Rank,Country,GDP(in US$),GDP (abbrev.),GDP growth %,Population (2017),GDP per capita(in US$),Share of World GDP %
74,Ghana,58996776238,$59.00 billion,8.14,29121465,2026,0.07
75,Bulgaria,58220973783,$58.22 billion,3.81,7102444,8197,0.07
76,Costa Rica,57285984448,$57.29 billion,3.28,4949954,11573,0.07
77,Uruguay,56156972158,$56.16 billion,2.66,3436641,16341,0.07
78,Croatia,55213087271,$55.21 billion,2.92,4182857,13200,0.07
79,Belarus,54456465473,$54.46 billion,2.42,9450231,5762,0.07
80,Lebanon,53576985687,$53.58 billion,1.53,6819373,7857,0.07
81,Tanzania,53320625959,$53.32 billion,7.10,54660339,975,0.07
82,Macao,50361201096,$50.36 billion,9.10,622585,80890,0.06
83,Uzbekistan,49677172714,$49.68 billion,5.30,31959785,1554,0.06
84,Slovenia,48769655479,$48.77 billion,5.00,2076394,23488,0.06
85,Lithuania,47544459559,$47.54 billion,3.83,2845414,16709,0.06
86,Serbia,41431648801,$41.43 billion,1.87,8829628,4692,0.05
87,Azerbaijan,40747792238,$40.75 billion,0.10,9845320,4139,0.05
88,Jordan,40068308451,$40.07 billion,1.97,9785843,4095,0.05
89,Tunisia,39952095561,$39.95 billion,1.96,11433443,3494,0.05
90,Paraguay,39667400816,$39.67 billion,5.21,6867061,5776,0.05
91,Libya,38107728083,$38.11 billion,26.68,6580724,5791,0.05
92,Turkmenistan,37926285714,$37.93 billion,6.50,5757667,6587,0.05
93,DR Congo,37642482562,$37.64 billion,3.70,81398764,462,0.05
94,Bolivia,37508642113,$37.51 billion,4.20,11192855,3351,0.05
95,Côte d'Ivoire,37353276059,$37.35 billion,7.70,24437470,1529,0.05
96,Bahrain,35432686170,$35.43 billion,3.88,1494076,23715,0.04
97,Cameroon,34922782311,$34.92 billion,3.55,24566073,1422,0.04
98,Yemen,31267675216,$31.27 billion,-5.94,27834819,1123,0.04
99,Latvia,30463302414,$30.46 billion,4.55,1951097,15613,0.04
100,Estonia,26611651599,$26.61 billion,4.85,1319390,20170,0.03
101,Uganda,25995031850,$26.00 billion,3.86,41166588,631,0.03
102,Zambia,25868142073,$25.87 billion,3.40,16853599,1535,0.03
103,Nepal,24880266905,$24.88 billion,7.91,27632681,900,0.03
104,El Salvador,24805439600,$24.81 billion,2.32,6388126,3883,0.03
105,Iceland,24488467010,$24.49 billion,3.64,334393,73233,0.03
106,Honduras,22978532897,$22.98 billion,4.79,9429013,2437,0.03
107,Cambodia,22158209503,$22.16 billion,7.10,16009409,1384,0.03
108,Trinidad and Tobago,22079017627,$22.08 billion,-2.34,1384059,15952,0.03
109,Cyprus,22054225828,$22.05 billion,4.23,1179678,18695,0.03
110,Zimbabwe,22040902300,$22.04 billion,4.70,14236595,1548,0.03
111,Senegal,21070225735,$21.07 billion,7.15,15419355,1366,0.03
112,Papua New Guinea,20536314601,$20.54 billion,2.55,8438036,2434,0.03
113,Afghanistan,19543976895,$19.54 billion,2.67,36296113,538,0.02
114,Bosnia and Herzegovina,18054854789,$18.05 billion,3.19,3351525,5387,0.02
115,Botswana,17406565823,$17.41 billion,2.36,2205080,7894,0.02
116,Laos,16853087485,$16.85 billion,6.89,6953035,2424,0.02
117,Mali,15334336144,$15.33 billion,5.40,18512430,828,0.02
118,Georgia,15081338092,$15.08 billion,4.83,4008716,3762,0.02
119,Gabon,15013950984,$15.01 billion,0.50,2064823,7271,0.02
120,Jamaica,14781107822,$14.78 billion,0.98,2920848,5061,0.02
121,State of Palestine,14498100000,$14.50 billion,3.14,4747227,3054,0.02
122,Nicaragua,13814261536,$13.81 billion,4.86,6384846,2164,0.02
123,Mauritius,13266427697,$13.27 billion,3.82,1264499,10491,0.02
124,Namibia,13253698015,$13.25 billion,-0.95,2402633,5516,0.02
125,Albania,13038538300,$13.04 billion,3.84,2884169,4521,0.02
126,Mozambique,12645508634,$12.65 billion,3.74,28649018,441,0.02
127,Malta,12518134319,$12.52 billion,6.42,437933,28585,0.02
128,Burkina Faso,12322864245,$12.32 billion,6.30,19193234,642,0.02
129,Equatorial Guinea,12293579173,$12.29 billion,-4.92,1262002,9741,0.02
130,Bahamas,12162100000,$12.16 billion,1.44,381755,31858,0.02
131,Brunei,12128089002,$12.13 billion,1.33,424473,28572,0.01
132,Armenia,11536590636,$11.54 billion,7.50,2944791,3918,0.01
133,Madagascar,11499803807,$11.50 billion,4.17,25570512,450,0.01
134,Mongolia,11433635876,$11.43 billion,5.30,3113786,3672,0.01
135,North Macedonia,11279509014,$11.28 billion,0.24,2081996,5418,0.01
136,Guinea,10472514515,$10.47 billion,10.60,12067519,868,0.01
137,Chad,9871247732,$9.87 billion,-2.95,15016753,657,0.01
138,Benin,9246696924,$9.25 billion,5.84,11175198,827,0.01
139,Rwanda,9135454442,$9.14 billion,6.06,11980961,762,0.01
140,Congo,8701334800,$8.70 billion,-3.10,5110695,1703,0.01
141,Haiti,8408150518,$8.41 billion,1.17,10982366,766,0.01
142,Moldova,8128493432,$8.13 billion,4.50,4059684,2002,0.01
143,Niger,8119710126,$8.12 billion,4.89,21602382,376,0.01
144,Kyrgyzstan,7564738836,$7.56 billion,4.58,6189733,1222,0.01
145,Tajikistan,7146449583,$7.15 billion,7.62,8880268,805,0.01
146,Malawi,6303292264,$6.30 billion,4.00,17670196,357,0.01
147,Guam,5859000000,$5.86 billion,0.19,164281,35665,0.01
148,Fiji,5061202767,$5.06 billion,3.80,877459,5768,0.01
149,Mauritania,5024708656,$5.02 billion,3.50,4282570,1173,0.01
150,Maldives,4865546027,$4.87 billion,6.91,496402,9802,0.01
151,Montenegro,4844592067,$4.84 billion,4.70,627563,7720,0.01
152,Togo,4757776485,$4.76 billion,4.40,7698474,618,0.01
153,Barbados,4673500000,$4.67 billion,1.00,286232,16328,0.01
154,Eswatini,4433664364,$4.43 billion,1.87,1124805,3942,0.01
155,Sierra Leone,3775047334,$3.78 billion,4.21,7488423,504,0.00
156,Guyana,3621046005,$3.62 billion,2.92,775222,4671,0.00
157,Liberia,3285455000,$3.29 billion,2.47,4702226,699,0.00
158,Burundi,3172416146,$3.17 billion,0.50,10827019,293,0.00
159,Andorra,3012914131,$3.01 billion,1.87,77001,39128,0.00
160,Suriname,2995827901,$3.00 billion,1.69,570496,5251,0.00
161,Timor-Leste,2954621000,$2.95 billion,-8.00,1243258,2377,0.00
162,Aruba,2700558659,$2.70 billion,1.33,105366,25630,0.00
163,Lesotho,2578265358,$2.58 billion,-2.29,2091534,1233,0.00
164,Bhutan,2528007911,$2.53 billion,4.63,745563,3391,0.00
165,Central African Republic,1949411659,$1.95 billion,4.30,4596023,424,0.00
166,Belize,1862614800,$1.86 billion,1.44,375769,4957,0.00
167,Cabo Verde,1772706451,$1.77 billion,4.01,537498,3298,0.00
168,Saint Lucia,1737504296,$1.74 billion,3.82,180954,9602,0.00
169,San Marino,1632860041,$1.63 billion,1.50,33671,48495,0.00
170,Northern Mariana Islands,1593000000,$1.59 billion,25.14,56562,28164,0.00
171,Antigua and Barbuda,1510084751,$1.51 billion,3.03,95426,15825,0.00
172,Seychelles,1497959569,$1.50 billion,5.28,96418,15536,0.00
173,Gambia,1489464788,$1.49 billion,4.56,2213889,673,0.00
174,Guinea-Bissau,1346841897,$1.35 billion,5.92,1828145,737,0.00
175,Solomon Islands,1303453622,$1.30 billion,3.24,636039,2049,0.00
176,Grenada,1126882296,$1.13 billion,5.06,110874,10164,0.00
177,Comoros,1068124330,$1.07 billion,2.71,813892,1312,0.00
178,Saint Kitts & Nevis,992007403,$992 million,1.17,52045,19061,0.00
179,Vanuatu,862879789,$863 million,4.50,285510,3022,0.00
180,Samoa,840927997,$841 million,2.70,195352,4305,0.00
181,St. Vincent & Grenadines,785222509,$785 million,0.86,109827,7150,0.00
182,American Samoa,634000000,$634 million,-5.38,55620,11399,0.00
183,Dominica,496727000,$497 million,-9.53,71458,6951,0.00
184,Tonga,427659795,$428 million,2.70,101998,4193,0.00
185,Sao Tome & Principe,392570293,$393 million,3.87,207089,1896,0.00
186,Palau,289823500,$290 million,-3.57,17808,16275,0.00
187,Marshall Islands,204173430,$204 million,3.60,58058,3517,0.00
188,Kiribati,185572502,$186 million,0.33,114158,1626,0.00
189,Tuvalu,39731317,$40 million,3.24,11370,3494,0.00
