position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
28	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	uukokGGc1tE	2019-12-19T21:00:26Z	2019-12-19 21:00:26	Excel - Sum Product Array function	sum a product of cells	27	Education	PT2M39S	159	2d	hd	false	https://i.ytimg.com/vi/uukokGGc1tE/maxresdefault.jpg	1	197	3	0	0	0
29	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	8Kj_V3VtQjE	2019-12-19T21:00:20Z	2019-12-19 21:00:20	Excel - SWITCH function new Excel 2019	switch, vlookup, and match are functions that give the user the ability to lookup values and return correspondings	27	Education	PT3M34S	214	2d	hd	false	https://i.ytimg.com/vi/8Kj_V3VtQjE/maxresdefault.jpg	1	479	9	1	0	0
30	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	gkshN8LLiR8	2019-12-19T21:00:14Z	2019-12-19 21:00:14	Excel - IFS function new Excel 2019	if function with more flexibility to perform multiple logical tests without nestin	27	Education	PT5M41S	341	2d	hd	false	https://i.ytimg.com/vi/gkshN8LLiR8/maxresdefault.jpg	1	410	12	1	0	0
31	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	HdFkJCv3g4k	2019-12-09T06:51:17Z	2019-12-09 06:51:17	Stack function to run One Factor ANOVA in R		27	Education	PT4M51S	291	2d	hd	false	https://i.ytimg.com/vi/HdFkJCv3g4k/maxresdefault.jpg	1	308	10	0	0	0
32	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	CekITgU8tww	2019-12-09T06:50:59Z	2019-12-09 06:50:59	How to build a Multi Panel Chart in Excel	A small Excel hack to build multiple panel charts in Microsoft Excel.	27	Education	PT17M14S	1034	2d	hd	false	https://i.ytimg.com/vi/CekITgU8tww/maxresdefault.jpg	1	492	17	0	0	0
33	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	apRkIy73sxg	2019-10-15T17:41:36Z	2019-10-15 17:41:36	Simple Linear Regression Example	Linear Regression tutorial with example and software tool.	27	Education	PT14M56S	896	2d	hd	false	https://i.ytimg.com/vi/apRkIy73sxg/maxresdefault.jpg	1	6296	75	3	0	3
34	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	2fbCQ1s6sbs	2019-10-14T22:16:37Z	2019-10-14 22:16:37	R - Sorting results from Aggregate function	A clean and concise way to get conditional statistics.	27	Education	PT3M59S	239	2d	hd	false	https://i.ytimg.com/vi/2fbCQ1s6sbs/maxresdefault.jpg	1	117	3	0	0	0
35	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	rd-p3Jo3XDM	2019-10-14T22:16:37Z	2019-10-14 22:16:37	Vlookup DONE QUICK	Excel vlookup function introduced with example quickly for those on the run.	27	Education	PT5M13S	313	2d	hd	false	https://i.ytimg.com/vi/rd-p3Jo3XDM/maxresdefault.jpg	1	338	12	0	0	2
36	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	sqIYGUk9jc0	2019-10-14T22:16:37Z	2019-10-14 22:16:37	R - Aggregate function		27	Education	PT3M38S	218	2d	hd	false	https://i.ytimg.com/vi/sqIYGUk9jc0/maxresdefault.jpg	1	524	4	0	0	0
37	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	twx3ocWtj2k	2019-10-14T22:16:37Z	2019-10-14 22:16:37	R - which.max, which.min, and Ranks		27	Education	PT3M43S	223	2d	hd	false	https://i.ytimg.com/vi/twx3ocWtj2k/maxresdefault.jpg	1	871	8	1	0	0
38	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	NZoMopx_BJY	2019-07-10T15:28:34Z	2019-07-10 15:28:34	Tableau - Number of Records or Count Rows	Learn how to quickly count the number of rows in your data sets in Tableau with this quick tutorial on the automatically created calculated field "Number of Records".	27	Education	PT2M36S	156	2d	hd	false	https://i.ytimg.com/vi/NZoMopx_BJY/maxresdefault.jpg	1	11708	31	17	0	4
39	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	uAdmzgTmWIU	2019-07-09T02:44:56Z	2019-07-09 02:44:56	Box and Whisker in Tableau	Learn how to build boxplot from scratch in Tableau.	27	Education	PT4M14S	254	2d	hd	false	https://i.ytimg.com/vi/uAdmzgTmWIU/maxresdefault.jpg	1	8639	76	1	0	3
