position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
21	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	Iz5nWgGjh_Y	2020-03-10T07:09:40Z	2020-03-10 07:09:40	PiTalks - Is a career with AI Startups a good choice?	PiTalks - Is a career with AI Startups a good choice?	27	Education	PT6M56S	416	2d	hd	false	https://i.ytimg.com/vi/Iz5nWgGjh_Y/maxresdefault.jpg		478	52	0	0	1
22	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	9nVbBGi-jfM	2020-03-09T14:30:01Z	2020-03-09 14:30:01	What is Objective Function - Machine Learning and Data Science Terminologies	#WhatisObjectiveFunction #DataScience #Terminologies #MachineLearning Watch video to understand about What is Objective Function? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of Courses Certified Data Scientist Python for Data Science Statistics for Data Science Python for Machine learning Machine learning Expert NLP Deep learning with Python For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best. #ObjectiveFunction	27	Education	PT7M8S	428	2d	hd	false	https://i.ytimg.com/vi/9nVbBGi-jfM/maxresdefault.jpg		544	49	0	0	0
23	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	sIgz0t0BNYk	2020-03-08T13:45:00Z	2020-03-08 13:45:00	What is Histogram - Data Science Terminologies - DataMites Institute	#WhatisHistogram #DataScience #Terminologies #MachineLearning Watch video to understand about What is Histogram? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of Courses Certified Data Scientist Python for Machine learning Statistics for Data Science Python for Data Science Deep learning with Python Machine learning Expert NLP For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best. #Histogram	27	Education	PT4M27S	267	2d	hd	false	https://i.ytimg.com/vi/sIgz0t0BNYk/maxresdefault.jpg		338	30	1	0	0
24	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	U0zbavL2BkY	2020-03-08T07:58:59Z	2020-03-08 07:58:59	DataMites Women Power - Happy Women's Day 2020	Happy Women's Day 2020	27	Education	PT1M5S	65	2d	sd	false	https://i.ytimg.com/vi/U0zbavL2BkY/maxresdefault.jpg		679	28	2	0	0
25	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	g2XPTJIGYgg	2020-03-07T13:30:01Z	2020-03-07 13:30:01	What is Heteroscedasticity - Machine Learning and Data Science Terminologies - DataMites	#WhatisHeteroscedasticity #DataScience #Terminologies #MachineLearning Watch video to understand about What is Heteroscedasticity? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". List of Courses Certified Data Scientist Statistics for Data Science Python for Machine learning Python for Data Science Machine learning Expert NLP Deep learning For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best. #Heteroscedasticity	27	Education	PT2M14S	134	2d	hd	false	https://i.ytimg.com/vi/g2XPTJIGYgg/maxresdefault.jpg		720	30	1	0	4
26	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	SwGHZDqmrQI	2020-03-06T13:15:01Z	2020-03-06 13:15:01	What is Features in Machine Learning - Data Science Terminologies - DataMites	#WhatisFeaturesinMachineLearning #DataScience #Terminologies #MachineLearning Watch video to understand about What is Features in Machine Learning? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best. #WhatisFeatures	27	Education	PT3M26S	206	2d	hd	false	https://i.ytimg.com/vi/SwGHZDqmrQI/maxresdefault.jpg		297	28	0	0	0
27	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	SKGRzo8VNA4	2020-03-05T13:45:00Z	2020-03-05 13:45:00	What is Cross Entropy - Data Science Terminologies - DataMites institute	#WhatisCrossEntropy #DataScience #Terminologies #MachineLearning Watch video to understand about What is Cross Entropy in Machine Learning? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, NLP, AI, Deep Learning, Tableau, Stats, Maths, Python / R Programming and Datamining. Work on Live projects and get certified as "data scientist". For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best.	27	Education	PT14M2S	842	2d	hd	false	https://i.ytimg.com/vi/SKGRzo8VNA4/maxresdefault.jpg		927	46	3	0	5
28	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	wZaZwmDK6Mg	2020-03-04T14:30:02Z	2020-03-04 14:30:02	What is Covariance - Data Science Terminologies - DataMites Institute	#WhatisCovariance #DataScience #Terminologies #MachineLearning Watch video to understand about What is Covariance in Machine Learning? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, NLP, Python, AI, Deep Learning, Tableau, Stats, R programming, Maths, and Datamining. Work on Live projects and get certified as "data scientist". For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best.	27	Education	PT2M37S	157	2d	hd	false	https://i.ytimg.com/vi/wZaZwmDK6Mg/maxresdefault.jpg		387	18	0	0	1
29	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	wJSy_6jkO1w	2020-03-03T13:30:02Z	2020-03-03 13:30:02	What is Correlation - Data Science Terminologies - Datamites Institute	#Correlation #DataScience #Terminologies #MachineLearning Watch video to understand about What is Correlation in Machine Learning? #DataMites is leading training institute for data science and machine learning courses. Learn data science with machine learning, Python programming, R Programming, NLP, AI, Deep Learning, Tableau, Stats, Maths, and Datamining. Work on Live projects and get certified as "data scientist". For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ All the best.	27	Education	PT8M17S	497	2d	hd	false	https://i.ytimg.com/vi/wJSy_6jkO1w/maxresdefault.jpg		667	30	1	0	4
30	UCpbMQO3wyA-vfYiCiIGB8Iw	DataMites	gIN2aVsoRPA	2020-03-02T12:45:00Z	2020-03-02 12:45:00	What is Box Plot - Data Science Terminologies - DataMites Institute	#BoxPlot #DataScience #Terminologies #MachineLearning Watch video to understand about What is Box Plot in Machine Learning? Datamites is leading training institute for data science and machine learning courses. Learn data science with machine learning, AI, Deep Learning, Tableau, Stats, Maths, and Datamining. Work on Live projects to gain knowledge and realtime experience in data science. For more details about course visit: https://datamites.com/ DataMites Classroom training centers in INDIA. Data Science course in Chennai: https://datamites.com/data-science-course-training-chennai/ Data Science in Bangalore: https://datamites.com/data-science-course-training-bangalore/ Data Science in Pune: https://datamites.com/data-science-course-training-pune/ All the best.	27	Education	PT7M	420	2d	hd	false	https://i.ytimg.com/vi/gIN2aVsoRPA/maxresdefault.jpg		468	29	0	0	0
