Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Georgia,2021-09-15 06:21:33,42.3154,43.3569,585036,8287,,,14665.588749553479,,,1.4164940277179523,268,GEO,94574,1804
Germany,2021-09-15 06:21:33,51.165691,10.451526,4102252,92776,,,4896.226836776425,,,2.2615870502348465,276,DEU,265034,849
Ghana,2021-09-15 06:21:33,7.9465,-1.0232,123874,1098,,,398.655486308105,,,0.8863845520448197,288,GHA,12642,168
Greece,2021-09-15 06:21:33,39.0742,21.8243,620355,14268,,,5951.757334892953,,,2.299973402326088,300,GRC,76606,1048
Grenada,2021-09-15 06:21:33,12.1165,-61.679,2646,35,,,2351.6028404091753,,,1.3227513227513228,308,GRD,2458,34
Guatemala,2021-09-15 06:21:33,15.7835,-90.2308,515756,12795,,,2878.8148318163758,,,2.4808242657380624,320,GTM,98136,1576
Guinea,2021-09-15 06:21:33,9.9456,-9.6966,30085,368,,,229.08304646871738,,,1.2232009306963605,324,GIN,1830,75
Guinea-Bissau,2021-09-15 06:21:33,11.8037,-15.1804,6031,127,,,306.45356346906857,,,2.105786768363456,624,GNB,908,37
Guyana,2021-09-15 06:21:33,4.860416000000002,-58.93018000000001,28234,692,,,3589.559079484184,,,2.4509456683431323,328,GUY,4559,110
Haiti,2021-09-15 06:21:33,18.9712,-72.2852,21271,596,,,186.5462700261424,,,2.801936909407174,332,HTI,715,20
Holy See,2021-09-15 06:21:33,41.9029,12.4534,27,0,,,3337.4536464771318,,,0.0,336,VAT,0,0
Honduras,2021-09-15 06:21:33,15.2,-86.2419,353641,9370,,,3570.4694219094786,,,2.6495796584672027,340,HND,31966,874
Hungary,2021-09-15 06:21:33,47.1625,19.5033,815851,30102,,,8445.356534701124,,,3.6896443100517127,348,HUN,5302,60
Iceland,2021-09-15 06:21:33,64.9631,-19.0208,11307,33,,,3313.406593406593,,,0.29185460334306185,352,ISL,1625,3
India,2021-09-15 06:21:33,20.593684,78.96288,33316755,443497,,,2414.2499373290034,,,1.3311530489689047,356,IND,1003722,10694
Indonesia,2021-09-15 06:21:33,-0.7893,113.9213,4174216,139415,,,1526.0897705065113,,,3.3399086199660006,360,IDN,281737,19402
Iran,2021-09-15 06:21:33,32.427908,53.68804599999999,5340656,115167,,,6358.457238668581,,,2.156420484674542,364,IRN,823413,16059
Iraq,2021-09-15 06:21:33,33.223191,43.679291,1959369,21596,,,4871.325387184383,,,1.1021915728992344,368,IRQ,165997,1781
Ireland,2021-09-15 06:21:33,53.1424,-7.6921,368712,5155,,,7467.137159979878,,,1.3981101781336112,372,IRL,41028,96
Israel,2021-09-15 06:21:33,31.046051,34.851612,1194783,7438,,,13803.67789835436,,,0.6225398252234925,376,ISR,238473,734
Italy,2021-09-15 06:21:33,41.8719,12.5674,4613214,130027,,,7629.961171534544,,,2.818577243544305,380,ITA,163608,1517
Jamaica,2021-09-15 06:21:33,18.1096,-77.2975,76987,1736,,,2599.8924070660128,,,2.254926156364061,388,JAM,17899,416
Japan,2021-09-15 06:21:33,36.204824,138.252924,1652429,16920,,,1306.511129525781,,,1.0239471711038721,392,JPN,468858,1422
Jordan,2021-09-15 06:21:33,31.24,36.51,809443,10568,,,7933.273482476963,,,1.3055891520465308,400,JOR,23746,329
Kazakhstan,2021-09-15 06:21:33,48.0196,66.9237,921440,15031,,,4907.356758562617,,,1.6312510852578572,398,KAZ,146680,3306
Kenya,2021-09-15 06:21:33,-0.0236,37.9062,244380,4928,,,454.4803640603817,,,2.0165316310663717,404,KEN,21486,574
Kiribati,2021-09-15 06:21:33,-3.3704,-168.734,2,0,,,1.7005935071339895,,,0.0,296,KIR,0,0
"Korea, South",2021-09-15 06:21:33,35.90775700000001,127.766922,277989,2380,,,542.2146087250893,,,0.8561489843123289,410,KOR,49332,202
Kosovo,2021-09-15 06:21:33,42.602636,20.902977,157618,2833,,,8706.416271626842,,,1.7973835475643645,383,XKS,38866,542
Kuwait,2021-09-15 06:21:33,29.31166,47.481766,410901,2434,,,9621.705615863762,,,0.592356796405947,414,KWT,3762,39
Kyrgyzstan,2021-09-15 06:21:33,41.20438,74.766098,177308,2576,,,2717.7009379400447,,,1.4528391273941392,417,KGZ,4640,119
Laos,2021-09-15 06:21:33,19.85627,102.495496,17682,16,,,243.03297232541402,,,0.09048750141386723,418,LAO,7034,7
Latvia,2021-09-15 06:21:33,56.8796,24.6032,147788,2621,,,7835.215952480168,,,1.7734863453054377,428,LVA,7463,56
Lebanon,2021-09-15 06:21:33,33.8547,35.8623,614688,8210,,,9005.834347431273,,,1.3356369410172315,422,LBN,29792,222
Lesotho,2021-09-15 06:21:33,-29.61,28.2336,14395,403,,,671.9564271616972,,,2.7995831886071554,426,LSO,43,4
Liberia,2021-09-15 06:21:33,6.4280550000000005,-9.429499,5727,245,,,113.23380279128143,,,4.27798149118212,430,LBR,219,0
Libya,2021-09-15 06:21:33,26.3351,17.228331,326370,4457,,,4749.765218655544,,,1.3656279682568864,434,LBY,39476,501
Liechtenstein,2021-09-15 06:21:33,47.14,9.55,3390,60,,,8889.005427799775,,,1.7699115044247788,438,LIE,215,1
Lithuania,2021-09-15 06:21:33,55.1694,23.8813,309855,4721,,,11382.140998151925,,,1.523615884849365,440,LTU,19089,263
Luxembourg,2021-09-15 06:21:33,49.8153,6.1296,76894,834,,,12283.857528084143,,,1.0846099825734128,442,LUX,2115,6
MS Zaandam,2021-09-15 06:21:33,,,9,2,,,,,,22.222222222222218,8888,,0,0
Madagascar,2021-09-15 06:21:33,-18.766947,46.869107,42898,958,,,154.91665366305227,,,2.233204345190918,450,MDG,79,4
Malawi,2021-09-15 06:21:33,-13.2543,34.3015,61171,2244,,,319.76551957388295,,,3.668404963136127,454,MWI,2706,246
Malaysia,2021-09-15 06:21:33,4.210483999999999,101.975766,2011440,21587,,,6214.6700991577645,,,1.073211231754365,458,MYS,567170,8510
Maldives,2021-09-15 06:21:33,3.2028,73.2207,83070,227,,,15367.90850664703,,,0.27326351270013244,462,MDV,3651,5
Mali,2021-09-15 06:21:33,17.570692,-3.996166000000001,14991,543,,,74.02658083118948,,,3.6221733039823896,466,MLI,290,8
Malta,2021-09-15 06:21:33,35.9375,14.3754,36843,449,,,8344.223273595311,,,1.2186846890861225,470,MLT,1409,16
