Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities
Imran,Bharat Prabhat Party,0,12th Pass,38,4370000,Rohtak,0
Inderjeet,IND, 2 ,Post Graduate,32,35000,Rohtak,0
Jai Karan,SUCI(C),0,Post Graduate,73,16019515,Rohtak,0
Kishan Lal,BSP,0,5th Pass,51,10638347,Rohtak,0
Krishan,IND,0,12th Pass,33,8943666,Rohtak,275000
Manju Devi,Pragatishil Samajwadi Party (Lohia),0,8th Pass,34,1720000,Rohtak,49000
Parveen Kumar,IND,0,Post Graduate,35,885000,Rohtak,0
Pradeep Kumar Deswal,Jannayak Janta Party, 3 ,Post Graduate,32,5150821,Rohtak,0
Rajbir,Aapki Apni Party (Peoples),0,Graduate,26,3785000,Rohtak,0
Ram Kishan Sain,IND,0,10th Pass,55,34430000,Rohtak,1050000
Rambir,IND,0,12th Pass,27,353565,Rohtak,0
Satyavir Singh,IND,0,Graduate Professional,43,3674081,Rohtak,0
Sukhbir,Dalit Soshit Pichhara Varg Adhikar Dal,0,8th Pass,41,319887,Rohtak,90000
Vinay,IND,0,Graduate Professional,37,9984989,Rohtak,786068
Sunita Duggal,BJP,0,Post Graduate,51,42596349,Sirsa,2500000
Angrej Singh Alahi,Rashtriya Lokswaraj Party,0,5th Pass,41,1460000,Sirsa,0
Ankur Gill,SHS,0,10th Pass,27,1190000,Sirsa,1000000
Ashok Tanwar,INC, 1 ,Doctorate,43,64311703,Sirsa,7489962
Brij Pal Balmiki,Bahujan Mukti Party,0,Graduate,47,5610000,Sirsa,0
Charanjeet Singh Rori,INLD,0,10th Pass,49,10601527,Sirsa,4446477
Dalip Luna,IND,0,Post Graduate,31,367071,Sirsa,0
Deepak,IND,0,Graduate,28,438099,Sirsa,0
Dr. Rajesh Mehandia,Peoples Party of India (Democratic),0,Doctorate,44,3122910,Sirsa,36000
Hira Singh Hanspur,Pragatishil Samajwadi Party (Lohia),0,10th Pass,47,270690,Sirsa,60000
Janak Raj Atwal,BSP,0,Post Graduate,50,18517000,Sirsa,1500000
Jaswant,Bhartiya Shakti Chetna Party,0,8th Pass,41,1015000,Sirsa,50000
Kashmir Chand Oad,IND,0,12th Pass,69,14323000,Sirsa,445000
Nirmal Singh,Jannayak Janta Party,0,12th Pass,37,1805374,Sirsa,0
Rajender Sirsa,IND,0,12th Pass,40,690377,Sirsa,0
Rajesh Chaubara,Revolutionary Marxist Party of India,0,10th Pass,39,181500,Sirsa,0
Surajmal Athwal,IND,0,10th Pass,61,11004576,Sirsa,394000
Surender Kumar,IND,0,12th Pass,41,206000,Sirsa,0
Vinod Kumar Sirkiband (Gihara),IND,0,Literate,42,1110000,Sirsa,0
Virender Singh,IND,0,12th Pass,40,855330,Sirsa,0
Ramesh Chander Kaushik,BJP,0,Graduate Professional,62,235859266,Sonipat,0
Anil Kumar,IND,0,Post Graduate,40,55425964,Sonipat,5942352
Ashwani,IND,0,Post Graduate,35,1700,Sonipat,0
Bhupinder Singh Hooda,INC, 6 ,Graduate Professional,72,155261986,Sonipat,1440000
Bijender,IND,0,Post Graduate,54,33752838,Sonipat,373590
Bijender Kumar,IND,0,10th Pass,40,5446000,Sonipat,0
Comrade Balbeer Singh,SUCI(C),0,10th Pass,60,1994243,Sonipat,0
Dharambir,IND,0,12th Pass,39,921000,Sonipat,0
Digvijay Singh Chautala,Jannayak Janta Party, 1 ,12th Pass,28,531839302,Sonipat,113658582
Dr. Jagbir Singh,IND,0,Graduate Professional,64,11397000,Sonipat,4360000
Jai Prakash,IND,0,8th Pass,54,7455000,Sonipat,224773
Karan Singh,IND,0,12th Pass,39,756000,Sonipat,0
Kusum Parashar,Mahila & Yuva Shakti Party,0,Post Graduate,41,5156791,Sonipat,458635
Mahavir,Rashtriya Mazdoor Ekta Party,0,8th Pass,56,332000,Sonipat,0
Manish,Aapki Apni Party (Peoples),0,12th Pass,29,88000,Sonipat,100000
Master Ramesh Khatri Lambardar,IND, 1 ,Graduate Professional,58,45031000,Sonipat,65000
Mohan,AIFB, 1 ,12th Pass,51,8702000,Sonipat,0
Pardeep Chahal,IND,0,12th Pass,32,5353000,Sonipat,0
Raj Bala Saini,Loktanter Suraksha Party,0,Post Graduate,44,38202783,Sonipat,1495000
Rajesh Sharma,Pragatishil Samajwadi Party (Lohia),0,Graduate,39,7005038,Sonipat,0
Ramdiya,Samajik Nyaya Party,0,8th Pass,76,1189642,Sonipat,0
Ravinder Kumar,IND,0,Graduate,37,334313,Sonipat,80000
Sant Dharamveer Chotiwala,Bahujan Maha Party,0,Graduate Professional,47,40440000,Sonipat,150000
Satinder Rathi,IND,0,Graduate,52,22239323,Sonipat,10375000
Satish Raj,IND,0,Graduate,50,51201747,Sonipat,131427
Shiyanand Tyagi,IND,0,Graduate Professional,55,83135000,Sonipat,650000
Sudhir Kumar,Bharat Prabhat Party,0,Graduate,42,114200,Sonipat,42000
Sukhmandar Singh Kharb,Rashtriya Jatigat Aarakshan Virodhi Party,0,10th Pass,31,3528000,Sonipat,0
Surender Kumar Chhikara,INLD,0,12th Pass,49,406648321,Sonipat,164547432
Anurag Singh Thakur,BJP, 3 ,Graduate,45,56770463,Hamirpur,1085145
Ashish Kumar,IND,0,Post Graduate,38,50000,Hamirpur,0
Ashok Sharma,IND,0,10th Pass,55,4161870,Hamirpur,1200000
Desh Raj,BSP,0,Graduate Professional,40,8958922,Hamirpur,0
Krishan Gopal,Satya Bahumat Party,0,8th Pass,28,25000,Hamirpur,35000
Parveen Thakur,IND,0,12th Pass,52,11008000,Hamirpur,4700000
Radha Krishan,IND,0,Graduate,64,4915135,Hamirpur,1120971
Ram Lal Thakur,INC,0,Graduate Professional,68,34888616,Hamirpur,0
Ram Singh Shukla,Bahujan Mukti Party,0,Post Graduate,66,4360000,Hamirpur,0
Tulsi Ram Sharma,AIFB,0,12th Pass,73,8357500,Hamirpur,400000
Vikash Kumar,IND,0,Post Graduate,30,208000,Hamirpur,140500
Kishan Kapoor,BJP, 2 ,12th Pass,67,85841247,Kangra,3605161
Bhachan Singh Rana,IND,0,12th Pass,52,58283642,Kangra,11501000
Chander Bhan,IND,0,10th Pass,54,35000,Kangra,50000
Col. Narinder Singh Pathania,IND,0,Graduate Professional,67,2408115,Kangra,0
Dr. Sanjiv Guleria,IND,0,Graduate Professional,59,6237054,Kangra,0
Dr. Swaroop Singh Rana,Swabhiman Party,0,Post Graduate,58,39886000,Kangra,0
Kehar Singh,BSP,0,Doctorate,49,79500000,Kangra,100000
Nisha Katoch,IND,0,Graduate Professional,37,2633000,Kangra,1800000
Pawan Kumar Kajal,INC,0,10th Pass,45,79478472,Kangra,6642582
Prem Chand Vishvakarma,Navbharat Ekta Dal, 1 ,Post Graduate,67,55606573,Kangra,5130000
Subhash Chand,Himachal Jan Kranti Party,0,10th Pass,70,4729423,Kangra,0
Ram Swaroop Sharma,BJP,0,10th Pass,60,15724337,Mandi,783963
Aashray Sharma,INC,0,Others,32,48523665,Mandi,16286033
Brij Gopal,IND,0,12th Pass,59,6091905,Mandi,1696565
Chandermani,AIFB,0,Graduate,61,14214000,Mandi,0
Col. Thakur Singh,IND,0,Post Graduate,66,54106562,Mandi,0
Daleep Singh Kaith,CPI(M), 1 ,Post Graduate,48,4303590,Mandi,934823
Dev Raj Bhardwaj,IND,0,Graduate,66,691733000,Mandi,0
Dharmender Singh Thakur,IND,0,Doctorate,49,284035000,Mandi,3315000
Ghanshyam Chand Thakur,IND,0,Graduate Professional,63,12175000,Mandi,391421
Guman Singh,IND,0,Graduate Professional,59,14000000,Mandi,2800000
Kartar Chand,Swabhiman Party,0,Graduate,44,3241600,Mandi,40000
Khem Chand,Peoples Party of India (Democratic),0,Illiterate,43,7030600,Mandi,600000
Mehar Singh,Rashtriya Azad Manch, 3 ,10th Pass,53,2500000,Mandi,32000
Rajender Suryavanshi,Ambedkarite Party of India, 1 ,12th Pass,42,1673222,Mandi,73222
Ses Ram,BSP,0,12th Pass,46,25552000,Mandi,1100000
Shiv Lal Thakur,Bhartiya Shakti Chetna Party,0,12th Pass,64,5345000,Mandi,2000000
Subhash Mohan Snehi,IND,0,Doctorate,47,21561080,Mandi,0
Suresh Kumar Kashyap,BJP,0,Post Graduate,48,15705738,Shimla,7873806
Dhani Ram Shandil,INC, 1 ,Doctorate,78,36782528,Shimla,4111104
Manoj Kumar,AIFB,0,10th Pass,27,184000,Shimla,0
Ravi,IND,0,10th Pass,39,118935,Shimla,0
Shamsher Singh,Rashtriya Azad Manch,0,10th Pass,37,351000,Shimla,0
Vikram Singh,BSP,0,Graduate,33,5429000,Shimla,140000
Hasnain Masoodi,Jammu & Kashmir National Conference,0,Post Graduate,65,87620672,Anantnag,0
Ali Mohammad Wani,IND,0,Graduate,48,13100000,Anantnag,0
Ch. Zaffar Ali,Jammu & Kashmir People Conference,0,8th Pass,60,23265829,Anantnag,202000
Gh. Mohd. Wani,IND,0,12th Pass,45,31000,Anantnag,0
Ghulam Ahmad Mir,INC,0,Graduate,60,140146018,Anantnag,0
Imtiyaz Ahmad Rather,IND,0,Post Graduate,47,790000,Anantnag,0
Kyasir Ahmad Sheikh,IND, 2 ,Graduate,31,250000,Anantnag,200000
Manzoor Ahmad Khan,IND, 1 ,8th Pass,47,40000,Anantnag,0
Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party, 1 ,Graduate Professional,59,8903857,Anantnag,0
Mirza Sajad Hussain Beigh,IND,0,Graduate,36,60000,Anantnag,0
Nisar Ahmad Wani,Jammu & Kashmir National Panthers Party,0,10th Pass,36,30000,Anantnag,0
Ridwana Sanam,IND,0,Graduate Professional,39,4900000,Anantnag,0
Riyaz Ahmad Bhat,IND,0,10th Pass,45,31000,Anantnag,0
Sanjay Kumar Dhar,Manvadhikar National Party,0,12th Pass,51,355000,Anantnag,0
Shams Khwaja,IND,0,Post Graduate,58,44240,Anantnag,20500000
Sofi Yousuf,BJP, 1 ,Illiterate,53,11710000,Anantnag,0
Surinder Singh,Pragatishil Samajwadi Party (Lohia),0,Graduate,60,8090000,Anantnag,0
Zubair Masoodi,IND, 1 ,12th Pass,38,1150000,Anantnag,1487848
Mohammad Akbar Lone,Jammu & Kashmir National Conference,0,Graduate Professional,71,597434000,Baramulla,104935
Abdul Qayoom Wani,Jammu & Kashmir Peoples Democratic Party,0,Graduate Professional,59,16556983,Baramulla,473600
Engineer Rashid,IND,0,Others,54,8000000,Baramulla,6000000
Haji Farooq Ahmad Mir,INC,0,8th Pass,55,12777435,Baramulla,0
Jahangir Khan,Jammu & Kashmir National Panthers Party,0,10th Pass,46,215000,Baramulla,0
Javid Ahmad Qureshi,IND,0,8th Pass,45,1170000,Baramulla,0
Mohd Maqbool War,BJP,0,Graduate,61,11320000,Baramulla,0
Raja Aijaz Ali,Jammu & Kashmir People Conference,0,Graduate Professional,67,176868487,Baramulla,848606
Syed Najeeb Shah Naqvi,IND,0,Post Graduate,48,10050737,Baramulla,6786855
Jugal Kishore,BJP,0,10th Pass,56,56481801,Jammu,350040219
Ajay Kumar,IND,0,Post Graduate,49,179279000,Jammu,3354000
Anil Singh,IND,0,Graduate Professional,25,10000,Jammu,0
Badri Nath,BSP,0,10th Pass,62,36010000,Jammu,0
Bahadur,IND,0,10th Pass,39,4466781,Jammu,4500000
Balwan Singh,IND,0,8th Pass,45,5535000,Jammu,0
Er. Ghulam Mustafa Chowdhary,IND,0,Others,37,19050000,Jammu,0
Gursagar Singh,Navarang Congress Party,0,12th Pass,39,45400000,Jammu,3530000
Javaid Ahmed,AIFB,0,12th Pass,37,2207000,Jammu,0
Lal Singh,Dogra Swabhiman Sangathan Party,0,Graduate,60,20355810,Jammu,1950000
Manish Sahni,SHS,0,Graduate,50,11807830,Jammu,1290000
Mohd Younis,Jammu & Kashmir Pir Panjal Awami Party,0,Graduate Professional,54,930000,Jammu,0
Perseen Singh,IND,0,12th Pass,39,135000,Jammu,0
Prof. Bhim Singh,Jammu & Kashmir National Panthers Party,0,Post Graduate,78,84000,Jammu,0
Rajiv Chuni,IND,0,10th Pass,56,38111801,Jammu,7062479
Raman Bhalla,INC,0,Graduate Professional,56,59272009,Jammu,6805874
Sakander Ahmad Nourani,IND,0,Post Graduate,30,421000,Jammu,0
Satish Poonchi,IND,0,10th Pass,70,5444000,Jammu,0
Shazad Shabnam,IND, 1 ,10th Pass,27,54014426,Jammu,25000000
Subash Chander,IND,0,8th Pass,53,7480000,Jammu,0
Sushil Kumar,Hindusthan Nirman Dal,0,Graduate,46,18410778,Jammu,0
Syed Aqib Hussain,Independent Peoples Party,0,Graduate Professional,27,3768800,Jammu,0
Syed Zeshan Haider,IND,0,12th Pass,28,90000,Jammu,0
Tarseem Lal Khullar,IND,0,10th Pass,53,22727379,Jammu,398639
Tsering Namgyal,BJP, 1 ,Graduate,33,981904,Ladakh,0
Asgar Ali Karbalai,IND,0,10th Pass,54,2729608,Ladakh,0
Rigzin Spalbar,INC,0,Graduate,61,58318908,Ladakh,8765000
Sajjad Hussain,IND,0,Post Graduate,37,109000,Ladakh,0
Farooq Abdullah,Jammu & Kashmir National Conference, 1 ,Graduate Professional,83,121904435,Srinagar,0
Abdual Rashid Ganie,Jammu & Kashmir National Panthers Party,0,8th Pass,44,325000,Srinagar,0
Abdul Khaliq Bhat,SHS,0,8th Pass,40,5025000,Srinagar,0
Abdul Rashid Banday,IND,0,10th Pass,67,19255000,Srinagar,0
Aga Syed Mohsin,Peoples Democratic Party,0,12th Pass,58,12050000,Srinagar,0
Bilal Sultan,IND,0,Graduate Professional,46,12356000,Srinagar,80000
Irfan Raza Ansari,Jammu & Kashmir People Conference,0,Graduate,41,669198138,Srinagar,62371547
Nazir Ahmad Lone,Rashtriya Jankranti Party,0,8th Pass,46,6200000,Srinagar,1800000
Nazir Ahmad Sofi,Manvadhikar National Party,0,10th Pass,0,4270000,Srinagar,150000
Sajjad Ahmad Dar,IND,0,12th Pass,30,27000,Srinagar,0
Sheikh Khalid Jehangir,BJP, 1 ,12th Pass,0,45300000,Srinagar,3800000
Showkat Hussain Khan,JD(U),0,8th Pass,37,7590000,Srinagar,0
Dr. Jitendra Singh,BJP,0,Post Graduate,62,70827203,Udhampur,0
Bansi Lal,IND,0,8th Pass,54,11258700,Udhampur,450000
Firdous Ahmed Bawani,IND,0,12th Pass,0,70000,Udhampur,0
Garib Singh,IND,0,10th Pass,58,2040000,Udhampur,25000
Harsh Dev Singh,Jammu & Kashmir National Panthers Party, 3 ,Post Graduate,59,11936017,Udhampur,2500000
Lal Singh,Dogra Swabhiman Sangathan Party,0,Graduate,60,20355810,Udhampur,1950000
Meenakshi,SHS,0,Graduate,34,2135000,Udhampur,0
Mohd Ayub,Navarang Congress Party, 1 ,Graduate,55,27075200,Udhampur,49000
Rakesh Mudgal,IND,0,Graduate Professional,42,18650000,Udhampur,0
Shaber Ahmed,IND,0,Graduate,34,79200,Udhampur,0
Tilak Raj Bhagat,BSP,0,Graduate Professional,62,29125108,Udhampur,0
Vikramaditya Singh,INC,0,Others,54,360230337,Udhampur,4800765
Sunil Kumar Singh,BJP,0,Post Graduate,55,226209137,Chatra,1889051
Abdul Rajak Ansari,Sadan Vikas Party, 1 ,Literate,64,1645000,Chatra,0
Arjun Kumar,CPI, 2 ,10th Pass,40,4518000,Chatra,90000
Arun Kumar Yadav,IND, 1 ,Graduate,51,4765200,Chatra,0
Ashutosh Kumar,Purvanchal Janta Party (Secular),0,10th Pass,25,7480000,Chatra,0
Ayub Kha,IND,0,10th Pass,51,1556148,Chatra,40000
Bagendra Ram,IND,0,8th Pass,34,1033000,Chatra,0
Bhagalpuri Yadav,IND,0,Literate,37,3937000,Chatra,75000
Dhananjay Kumar,IND,0,10th Pass,35,670000,Chatra,0
Duleshwar Saw,IND,0,8th Pass,40,13193000,Chatra,2000000
Jaidullah Ansari,IND,0,Literate,66,6925000,Chatra,100000
Manoj Kumar Pandey,IND,0,Post Graduate,49,14143740,Chatra,5905032
Manoj Kumar Yadav,INC,0,Graduate,63,44186530,Chatra,249224
Nageshwar Ganjhu,BSP,0,Literate,36,101166000,Chatra,0
Nand Lal Prasad Keshari,IND,0,10th Pass,59,6689000,Chatra,2300000
Nandlal Prasad,IND,0,Graduate,43,16156581,Chatra,450000
Pankaj Ranjan,Jharkhand Peoples Party,0,12th Pass,25,4726929,Chatra,0
Pawan Kumar,IND, 1 ,Graduate,35,6830000,Chatra,1000000
Pramod Toppo,IND,0,Post Graduate,47,130000,Chatra,0
Rajendra Sahu,IND,0,10th Pass,41,84976547,Chatra,58992436
Ramanand Das,Bhartiya Sarvodaya Party,0,Graduate,51,4390000,Chatra,65000
Rameshi Ram,IND,0,Graduate,63,10725000,Chatra,1400000
Sagar Ram,Akhil Bharat Hindu Mahasabha,0,Illiterate,43,5778100,Chatra,43000
Shaukat Ali,Bharatiya Momin Front,0,8th Pass,52,1710000,Chatra,550000
Subhash Prasad Yadav,RJD, 3 ,Graduate,52,53288310,Chatra,5208407
Yogendra Yadav,IND,0,Graduate Professional,26,1905000,Chatra,0
Pashupati Nath Singh,BJP,0,Graduate,69,27286918,Dhanbad,0
Bamapada Bauri,IND, 1 ,Post Graduate,58,3052000,Dhanbad,0
Deepak Kumar Das,Peoples Party of India (Democratic),0,12th Pass,35,1477000,Dhanbad,0
Heera Lal Shankhvar,AIFB,0,Post Graduate,69,9136000,Dhanbad,25000
K.C.Singh Raj,IND,0,Post Graduate,67,1083000,Dhanbad,0
Kirti Azad,INC, 4 ,Graduate,58,84026755,Dhanbad,5147300
Lakshmi Devi,IND,0,Literate,49,332262,Dhanbad,0
Madhvi Singh,AITC,0,8th Pass,41,21365000,Dhanbad,0
Mantosh Kumar Mandal,Amra Bangalee,0,Post Graduate,72,4693000,Dhanbad,0
Meghnath Rawani,BSP,0,Graduate Professional,47,3662000,Dhanbad,0
Meraj Khan,SP, 3 ,12th Pass,40,4070260,Dhanbad,250000
Mihir Chandra Mahato,Ambedkarite Party of India,0,12th Pass,43,631000,Dhanbad,0
Prem Prakash Paswan,IND,0,12th Pass,35,602150,Dhanbad,0
Rajesh Kumar Singh,IND,0,Graduate,51,24038468,Dhanbad,14943313
Ram Lal Mahto,SUCI(C),0,Graduate,69,2187849,Dhanbad,0
Sanjay Paswan,IND,0,8th Pass,34,50000,Dhanbad,0
Siddharth Gautam,IND, 2 ,10th Pass,33,17651935,Dhanbad,0
Sudhir Kumar Mahato,Bahujan Mukti Party,0,Graduate Professional,53,14649361,Dhanbad,390000
Umesh Paswan,IND,0,Literate,55,179496,Dhanbad,20000
Varun Kumar,IND,0,Graduate,29,92800,Dhanbad,19500
Sunil Soren,BJP,0,12th Pass,39,4737559,Dumka,685516
Arjun Pujhar,AITC,0,10th Pass,44,1566773,Dumka,8000
Baghrai Soren,IND,0,Graduate Professional,64,660000,Dumka,0
Dr. Shrilal Kisku,IND,0,Graduate Professional,60,3010115,Dumka,0
Mohril Murmu,IND,0,Graduate Professional,69,790000,Dumka,0
Probina Murmu,IND,0,10th Pass,34,140000,Dumka,0
Rajesh Besra,IND,0,Graduate,33,135996,Dumka,0
Ramesh Tudu,IND,0,10th Pass,25,1707200,Dumka,0
Raska Soren ,IND,0,8th Pass,68,1835000,Dumka,0
Samuel Tudu,IND,0,8th Pass,45,47000,Dumka,0
Satish Soren,Jharkhand Peoples Party,0,Graduate,73,3936986,Dumka,0
Senapati Murmu,CPI,0,10th Pass,45,2468599,Dumka,341860
Shibu Soren,JMM,0,10th Pass,72,72593962,Dumka,14999229
Stephan Besra,BSP,0,10th Pass,40,3711000,Dumka,800000
Thakuroon Soren,IND, 1 ,5th Pass,37,59115,Dumka,0
Chandra Prakash Choudhary,AJSU Party, 2 ,Graduate,50,13456889,Giridih,1330000
Ahmad Ansari,Bhartiya Lokmat Rashtrwadi Party,0,Literate,57,290000,Giridih,0
Amit Jani,Uttar Pradesh Navnirman Sena, 9 ,Graduate Professional,38,6800000,Giridih,1600000
Chandra Deo Prasad,Aihra National Party,0,Post Graduate,37,2102000,Giridih,0
Dwaraka Prasad Lala,RPI(A), 1 ,10th Pass,68,9641678,Giridih,403300
Jagarnath Mahto,JMM, 3 ,10th Pass,52,19570591,Giridih,8156343
Jogeshwar Thakur,Vishva SHakti Party, 1 ,Graduate,41,4258200,Giridih,0
Madhu Sudan,Jharkhand Party (Secular),0,10th Pass,63,8655000,Giridih,1000000
Rajendra Dasaundhi,IND,0,Graduate,47,657329,Giridih,0
Rasul Baksh,BSP, 1 ,Literate,64,16481200,Giridih,0
Sanjeev Kumar Mahato,IND,0,12th Pass,39,1830883,Giridih,0
Shibu Singh,Bhartiya Manavadhikaar Federal Party,0,Graduate,46,1698452,Giridih,0
Simmi Suman,IND,0,Post Graduate,32,10555000,Giridih,5700000
Sohrab Shah,Bahujan Mukti Party,0,Literate,56,60000,Giridih,0
Sunita Tudu,IND,0,Graduate Professional,32,16688140,Giridih,1100000
Nishikant Dubey,BJP, 4 ,Doctorate,47,462757500,Godda,0
Anup Kumar Sinha,IND,0,Graduate,43,10895000,Godda,0
Asha Makede,Pichhara Samaj Party United,0,Doctorate,49,10000,Godda,0
Bajrangi Mahtha,Bahujan Mukti Party, 9 ,12th Pass,34,3787466,Godda,0
Birendra Kumar,IND, 1 ,Post Graduate,36,410031,Godda,0
Jitendra Kumar Barnwal,IND,0,12th Pass,34,1314140,Godda,353210
K. Rangaiah,IND,0,Post Graduate,82,680000,Godda,0
Madhusudan Ray,IND,0,10th Pass,52,871394,Godda,3585
Mahesh Kumar Suman,IND,0,Post Graduate,55,220000,Godda,0
Murari Kapri,Aam Adhikar Morcha,0,8th Pass,35,3325367,Godda,1875000
Noor Hassan,Rashtriya Samta Party (Secular),0,Graduate,47,2051330,Godda,0
Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik), 13 ,Graduate,53,14197149,Godda,0
Zaffar Obaid,BSP,0,Doctorate,46,873613,Godda,0
Jayant Sinha,BJP,0,Post Graduate,55,770749002,Hazaribagh,193271437
Bhawesh Kumar Mishra,Bharatiya Jan Kranti Dal (Democratic), 1 ,Graduate,43,290000,Hazaribagh,0
Bhubaneshwar Prasad Mehta,CPI, 1 ,12th Pass,73,38958977,Hazaribagh,0
Gautam Kumar,IND, 1 ,Graduate,29,4420000,Hazaribagh,395000
Gopal Prasad Sahu,INC,0,Graduate,74,346174281,Hazaribagh,21867709
Jagat Kumar Soni,Bhartiya Azad Sena,0,Post Graduate,35,2783000,Hazaribagh,55000
Krishna Kumar Singh,Bharat Prabhat Party,0,Graduate,28,2703300,Hazaribagh,0
Md Mubarak,Janata Congress,0,Literate,45,279125,Hazaribagh,0
Md. Moin Uddin Ahmad,IND, 1 ,Graduate,42,2876762,Hazaribagh,60000
Misbahul Islam,Peoples Party of India (Democratic), 1 ,12th Pass,47,3383000,Hazaribagh,0
Rajesh Ranjan,SUCI(C),0,Post Graduate,38,1544940,Hazaribagh,0
Rajni Devi,Jai Prakash Janata Dal,0,Literate,39,84754,Hazaribagh,0
Ramavtar Mahto,IND,0,12th Pass,34,1790000,Hazaribagh,0
Rameshwar Ram Kushwaha,AIFB,0,Graduate,49,885838,Hazaribagh,0
Tekochand Mahto,IND,0,Graduate Professional,28,2608338,Hazaribagh,50000
Vinod Kumar,BSP,0,Graduate,62,27695641,Hazaribagh,0
Bidyut Baran Mahato,BJP, 3 ,12th Pass,56,27750671,Jamshedpur,2961830
Angad Mahato,Amra Bangalee,0,10th Pass,51,3276000,Jamshedpur,0
Anjana Mahata,AITC,0,Post Graduate,38,8060342,Jamshedpur,0
Ashraf Hussain,BSP,0,12th Pass,39,50530000,Jamshedpur,12000000
Asit Kumar Singh,IND,0,Graduate Professional,49,2494948,Jamshedpur,0
Asjadullah Imran,Bharat Prabhat Party, 1 ,12th Pass,49,2869628,Jamshedpur,0
Champai Soren,JMM, 1 ,10th Pass,62,22822491,Jamshedpur,7650059
Chandra Shekhar Mahato,Peoples Party of India (Democratic),0,Post Graduate,47,3248346,Jamshedpur,17209
Deepak Kumar Giri,IND,0,12th Pass,37,126000,Jamshedpur,25000
Dinesh Mahato,IND, 2 ,12th Pass,46,5871513,Jamshedpur,29500
Mahesh Kumar,Right to Recall Party,0,Graduate Professional,36,1074449,Jamshedpur,567313
Malay Kumar Mahato,CPI(ML) Red Star,0,12th Pass,37,124811,Jamshedpur,11436
Mubin Khan,IND,0,12th Pass,58,1365000,Jamshedpur,100000
Panmani Singh,SUCI(C),0,Graduate,62,4283897,Jamshedpur,20000
Qamar Raza Khan,Bhartiya Panchyat Party,0,Others,34,6861709,Jamshedpur,1000000
Rakesh Kumar,IND,0,Graduate,42,7400000,Jamshedpur,0
Ranjit Kumar Singh,Jharkhand Party,0,Graduate,54,20915000,Jamshedpur,0
Sabita Kaibarto,Aihra National Party,0,12th Pass,35,2785000,Jamshedpur,0
Sarita Anand,IND,0,Graduate,38,14022115,Jamshedpur,7093866
Shailesh Kumar Singh,IND,0,Graduate,49,30068000,Jamshedpur,0
Shekh Akhir Uddin,Jharkhand Party (Naren), 2 ,8th Pass,54,265000,Jamshedpur,50000
Subrat Kumar Pradhan,Ambedkarite Party of India,0,Graduate Professional,53,325043,Jamshedpur,0
Surya Singh Besra,Jharkhand Peoples Party, 1 ,Post Graduate,57,12036532,Jamshedpur,1200000
Arjun Munda,BJP,0,12th Pass,50,91507865,Khunti,27106434
Abinashi Mundu,Hum Bhartiya Party,0,Graduate,35,1130569,Khunti,0
Ajay Topno,Jharkhand Party,0,Graduate,50,8191682,Khunti,0
Indumati Mundu,BSP,0,Graduate,50,1323000,Khunti,150000
Kali Charan Munda,INC,0,12th Pass,57,5111665,Khunti,0
Meenakshi Munda,IND,0,Doctorate,40,13477647,Khunti,851103
Munna Baraik,Aihra National Party,0,12th Pass,26,2570785,Khunti,0
Neel Justin Beck,Bharatiya Minorities Suraksha Mahasangh, 3 ,12th Pass,47,258000,Khunti,132000
Niyaran Herenj,IND,0,Post Graduate,45,1942000,Khunti,0
Sibil Kandulna,Rashtriya Sangail Party,0,Graduate,64,4628483,Khunti,0
Sukhram Herenj,IND,0,Graduate,65,125500,Khunti,0
Annapurna Devi,BJP,0,Post Graduate,50,97636939,Kodarma,3189066
Ajay Krishna,Rashtriya Jansangharsh Swaraj Party, 2 ,12th Pass,50,6398000,Kodarma,0
Avadhesh Kumar Singh,Vishva SHakti Party,0,Graduate Professional,46,1896800,Kodarma,0
Babu Lal Marandi,Jharkhand Vikas Morcha (Prajatantrik), 10 ,Graduate,61,10951372,Kodarma,0
Bayas Kumar,Moolniwasi Samaj Party, 1 ,Graduate,28,1156819,Kodarma,50000
Dayanand Kumar,Janata Congress,0,12th Pass,39,2312284,Kodarma,400000
Kanchan Kumari,AITC,0,Graduate,28,5290000,Kodarma,1200000
Md Mahboob Alam,IND,0,Literate,52,1887000,Kodarma,45000
Pradip Turi,IND,0,8th Pass,37,1635648,Kodarma,0
Raj Kumar Yadav,CPI(ML)(L), 4 ,10th Pass,46,14941593,Kodarma,3514000
Rameshwar Pd Yadav,IND,0,Post Graduate,44,1342200,Kodarma,67000
Sarfaraj Ahmad,BSP, 1 ,12th Pass,31,2538727,Kodarma,1100000
Shivnath Saw,AIFB,0,10th Pass,33,3318988,Kodarma,0
Tuklal Nayak,Hindusthan Nirman Dal,0,Post Graduate,58,2497500,Kodarma,0
Sudarshan Bhagat,BJP,0,Graduate,52,12947303,Lohardaga,525000
Aalone Baxla,IND,0,Graduate,47,2738947,Lohardaga,0
Ajit Kumar Bhagat,IND,0,Post Graduate,34,2550000,Lohardaga,0
Ambar Saurav Kunal,IND,0,Graduate Professional,25,1997468,Lohardaga,0
Anand Paul Tirkey,IND,0,Graduate Professional,27,2647000,Lohardaga,0
