Institute ID,Name,City,State,PR Score,PR Rank,Score,Year,Rank
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,49.00,8,55.22,2020,16
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,38.99,23,54.30,2020,17
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,44.07,14,54.10,2020,18
IR-O-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,39.82,19,53.82,2020,19
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,30.40,50,53.10,2020,20
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,23.16,83,52.60,2020,21
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,38.30,24,52.55,2020,22
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,21.54,92,52.35,2020,23
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,31.30,45,52.33,2020,24
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,34.20,33,52.22,2020,25
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,42.39,16,51.85,2020,26
IR-O-U-0235,Mysore University,Mysuru,Karnataka,31.30,45,51.84,2020,27
IR-O-I-1486,Sri Ramachandra Institute of Higher Education And Research,Chennai,Tamil Nadu,36.40,28,51.32,2020,28
IR-O-U-0027,Osmania University,Hyderabad,Telangana,39.00,20,51.15,2020,29
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,21.87,89,50.93,2020,30
IR-O-I-1480,Thapar Institute of Engineering & Technology,Patiala,Punjab,31.88,39,50.65,2020,31
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,24.10,78,50.45,2020,32
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,30.70,48,50.20,2020,33
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,38.16,25,50.10,2020,34
IR-O-U-0473,S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,34.53,31,50.07,2020,35
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,44.76,12,49.22,2020,36
IR-O-U-0497,Amity University Noida,Gautam Budh Nagar,Uttar Pradesh,30.10,54,49.02,2020,37
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,37.00,27,48.84,2020,38
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,19.47,114,48.77,2020,39
IR-O-U-0056,Tezpur University,Tezpur,Assam,34.88,30,48.77,2020,39
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,33.54,34,48.73,2020,41
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,19.11,122,48.56,2020,42
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,31.82,40,48.35,2020,43
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,14.18,171,48.21,2020,44
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,32.53,38,48.06,2020,45
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,33.54,34,47.92,2020,46
IR-O-U-0052,Gauhati University,Guwahati,Assam,22.20,87,47.10,2020,47
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,25.82,68,46.99,2020,48
IR-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,23.48,81,46.88,2020,49
IR-O-U-0589,Visva Bharati,Santiniketan,West Bengal,19.30,121,46.84,2020,50
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,35.48,29,46.58,2020,51
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,31.47,42,46.55,2020,52
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,40.09,18,46.41,2020,53
IR-O-U-0251,Calicut University,Malappuram,Kerala,21.21,95,46.37,2020,54
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,20.18,105,46.32,2020,55
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,21.54,92,46.11,2020,56
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,31.47,42,46.01,2020,57
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,28.88,58,45.82,2020,58
IR-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,21.87,89,45.67,2020,59
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,29.39,56,45.58,2020,60
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,30.00,55,45.24,2020,61
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,29.39,56,45.02,2020,62
IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,39.00,20,44.84,2020,63
IR-O-U-0383,Punjabi University,Patiala,Punjab,25.82,68,44.07,2020,64
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,23.79,80,44.00,2020,65
IR-O-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,15.66,167,43.50,2020,66
IR-O-U-0345,Mizoram University,Aizawl,Mizoram,20.52,100,43.49,2020,67
IR-O-U-0215,Bangalore University,Bangalore,Karnataka,24.40,76,43.33,2020,68
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,20.52,100,43.12,2020,69
IR-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,28.20,60,43.10,2020,70
IR-O-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,31.11,47,42.79,2020,71
IR-O-U-0458,Kalasalingam Academy of Research and Higher Education,Srivilliputtur,Tamil Nadu,20.87,98,42.57,2020,72
IR-O-U-0232,Kuvempu University,Shimoga,Karnataka,18.74,129,42.45,2020,73
IR-O-U-0239,NITTE,Mangaluru,Karnataka,22.85,85,42.19,2020,74
IR-O-U-0035,Sri Sathya Sai Institute of Higher Learning,Anantapur,Andhra Pradesh,31.47,42,42.08,2020,75
IR-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,25.82,68,41.95,2020,76
IR-O-U-0321,Padmashree Dr. D. Y. Patil Vidyapeeth,Mumbai,Maharashtra,25.11,71,41.74,2020,77
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,2.87,231,41.69,2020,78
IR-O-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,30.40,50,41.69,2020,78
